player_age,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,woba_percent
27,0.317,87.1,14.2,40.5,5.1,31.7
26,0.344,89.4,10.9,32.3,6.7,34.4
27,0.252,84.2,4.9,29.3,1.1,25.2
25,0.437,95.9,11.3,40.4,16.9,43.7
23,0.379,90.3,10.6,35.4,9.1,37.9
24,0.333,90,7.7,31.7,10,33.3
26,0.303,83.7,19.6,33.5,5.4,30.3
21,0.337,91.1,9.1,29.9,10.9,33.7
22,0.319,91.4,16.3,29.8,10.1,31.9
22,0.267,88.8,12.9,31.4,7.1,26.7
25,0.315,87.9,10.8,39.3,3.7,31.5
40,0.42,93.2,16.9,39.3,15.5,42
37,0.371,90.1,14.5,34.2,8.5,37.1
39,0.358,90.1,12.6,32.5,6.8,35.8
37,0.327,91.4,15,31.9,7.4,32.7
37,0.351,90,15.5,37.8,8.4,35.1
37,0.312,87.7,11.9,35.6,4.3,31.2
36,0.331,91.6,11.7,31.5,9.2,33.1
33,0.327,89.8,3.7,36.5,6,32.7
33,0.399,93.6,12.3,40.1,15.9,39.9
34,0.334,88.2,9.6,38.9,4.6,33.4
35,0.315,86.4,10.3,35.1,2.7,31.5
31,0.297,88.3,9.2,31.4,5.8,29.7
33,0.342,87.8,9.4,35.5,3.6,34.2
33,0.37,90.1,11.5,32.9,7.3,37
33,0.373,90.8,15.8,35.9,12.3,37.3
35,0.355,91.5,14.8,30.6,8.3,35.5
30,0.319,88.7,14.7,31.8,8,31.9
33,0.322,89.2,10,29.4,9.3,32.2
35,0.339,87.8,18.7,33.8,6.9,33.9
34,0.324,85.7,12.4,36.1,3,32.4
32,0.367,90.6,9.3,29.6,10.4,36.7
33,0.339,92.8,11.3,34.5,10.8,33.9
32,0.303,90.5,1.7,26.9,5.8,30.3
34,0.343,89.6,18.5,33.2,13.3,34.3
34,0.356,87.1,18.3,37.4,3.8,35.6
30,0.336,90.7,4.8,28.4,7.5,33.6
35,0.383,94.6,11.2,34.8,16.5,38.3
30,0.358,92.8,15.1,31.8,15.6,35.8
29,0.278,84,9.4,31.7,1.4,27.8
32,0.335,87.9,8.6,31.2,1.3,33.5
30,0.35,90.8,18.2,38.1,12.1,35
30,0.312,86.3,15.2,31.4,2.3,31.2
30,0.34,91.1,17.2,35.7,15.1,34
35,0.36,89.2,9.5,32.5,4.5,36
30,0.367,88.1,12.4,37.1,5.6,36.7
32,0.312,87.2,11.9,33.6,5.9,31.2
32,0.312,86,6.6,29.5,2.8,31.2
30,0.345,88.9,15.5,36.4,5.7,34.5
32,0.308,86.9,10.7,30.8,1.7,30.8
31,0.327,90,14.2,33.7,9.6,32.7
29,0.394,87.7,15.2,39.1,6.8,39.4
30,0.326,89.1,20.5,31.7,10.1,32.6
32,0.321,90.7,10.7,37.7,4.9,32.1
32,0.358,88.6,8.6,35.3,2.5,35.8
29,0.324,89.6,8.4,28.8,4.4,32.4
29,0.329,89.6,16.5,32.3,8.5,32.9
28,0.329,91.3,15.5,33.3,12.5,32.9
31,0.353,90.6,17,37.4,8.8,35.3
29,0.341,90.5,9.9,32.6,6.9,34.1
29,0.294,90.1,14.8,26.6,8.2,29.4
29,0.34,88.9,14.8,35.8,8.4,34
32,0.413,89.6,11.6,40.5,9.7,41.3
32,0.317,86.5,7.4,27.8,2.4,31.7
29,0.348,90,11.1,33.2,7.7,34.8
32,0.378,90,4.6,27.2,8.4,37.8
32,0.303,87.8,15.2,35.2,8.7,30.3
31,0.333,88.2,14.5,37.2,11.1,33.3
27,0.344,87.4,9,32.4,1.8,34.4
31,0.342,89.5,11.2,33.6,2.1,34.2
28,0.361,90.8,4.8,32.7,7.4,36.1
30,0.37,90.8,14.4,29.3,9.8,37
30,0.361,90.2,9,32.2,8.6,36.1
29,0.304,86.9,11.1,27.9,2.2,30.4
28,0.374,87.2,21.2,42.2,11.3,37.4
29,0.346,91.7,18.6,36.3,17.6,34.6
29,0.299,88.6,11.2,33.3,4.1,29.9
33,0.327,89.3,1.9,27.8,2.8,32.7
30,0.369,91.7,16.3,32.9,9.8,36.9
34,0.264,84.5,9,30.9,0.5,26.4
28,0.349,92,13.3,31.5,17,34.9
28,0.384,91.5,13.4,38,14.2,38.4
31,0.342,90.1,9.8,35.2,7.8,34.2
31,0.408,90.7,16.8,36.3,8.5,40.8
28,0.382,91,11,33,7.8,38.2
27,0.298,89.3,9.3,30.3,5.4,29.8
26,0.391,88.3,11.4,39.3,6.9,39.1
26,0.335,87,5,29.9,1.8,33.5
26,0.371,89,7.9,31,5.9,37.1
